classe;fck;fck_cube;fcm;fctm;fctk005;fctk095;Ecm
;MPa;MPa;MPa;MPa;MPa;MPa;MPa
C12/15;12;15;20;1.6;1.1;2;27000
C16/20;16;20;24;1.9;1.3;2.5;29000
C20/25;20;25;28;2.2;1.5;2.9;30000
C25/30;25;30;33;2.6;1.8;3.3;31000
C30/37;30;37;38;2.9;2;3.8;33000
C35/45;35;45;43;3.2;2.2;4.2;34000
C40/50;40;50;48;3.5;2.5;4.6;35000
C45/55;45;55;53;3.8;2.7;4.9;36000
C50/60;50;60;58;4.1;2.9;5.3;37000
C55/67;55;67;63;4.2;3;5.5;38000
C60/75;60;75;68;4.4;3.1;5.7;39000
C70/85;70;85;78;4.6;3.2;6;41000
C80/95;80;95;88;4.8;3.4;6.3;42000
C90/105;90;105;98;5;3.5;6.6;44000
